,Year,Babies of Aboriginal mothers,Babies of non-Aboriginal mothers,Gap,Rate Ratio
0,2003,23.1,10.0,13.100000000000001,2.3
1,2004,22.0,9.9,12.1,2.2
2,2005,18.6,9.9,8.700000000000001,1.9
3,2006,15.6,9.8,5.799999999999999,1.6
4,2007,16.6,10.2,6.400000000000002,1.6
5,2008,18.0,10.3,7.699999999999999,1.7
6,2009,21.2,10.4,10.799999999999999,2.0
7,2010,23.6,10.3,13.3,2.3
8,2011,21.7,10.2,11.5,2.1
9,2012,19.4,9.8,9.599999999999998,2.0
10,2013,17.8,9.7,8.100000000000001,1.8
11,2014,17.2,9.5,7.699999999999999,1.8
12,2015,13.6,9.4,4.199999999999999,1.4
